location,date,total_cases,new_cases,new_deaths
France,1/24/2020,2,2,
France,1/25/2020,3,1,
France,1/26/2020,3,0,
France,1/27/2020,3,0,
France,1/28/2020,4,1,
France,1/29/2020,5,1,
France,1/30/2020,5,0,
France,1/31/2020,5,0,
France,2/1/2020,6,1,
France,2/2/2020,6,0,
France,2/3/2020,6,0,
France,2/4/2020,6,0,
France,2/5/2020,6,0,
France,2/6/2020,6,0,
France,2/7/2020,6,0,
France,2/8/2020,11,5,
France,2/9/2020,11,0,
France,2/10/2020,11,0,
France,2/11/2020,11,0,
France,2/12/2020,11,0,
France,2/13/2020,11,0,
France,2/14/2020,11,0,
France,2/15/2020,12,1,1
France,2/16/2020,12,0,0
France,2/17/2020,12,0,0
France,2/18/2020,12,0,0
France,2/19/2020,12,0,0
France,2/20/2020,12,0,0
France,2/21/2020,12,0,0
France,2/22/2020,12,0,0
France,2/23/2020,12,0,0
France,2/24/2020,12,0,0
France,2/25/2020,14,2,0
France,2/26/2020,18,4,1
France,2/27/2020,38,20,0
France,2/28/2020,57,19,0
France,2/29/2020,100,43,0
France,3/1/2020,130,30,0
France,3/2/2020,191,61,1
France,3/3/2020,212,21,1
France,3/4/2020,288,76,0
France,3/5/2020,426,138,3
France,3/6/2020,616,190,2
France,3/7/2020,948,332,7
France,3/8/2020,1125,177,3
France,3/9/2020,1411,286,6
France,3/10/2020,1783,372,8
France,3/11/2020,2293,510,15
France,3/12/2020,2293,0,0
France,3/13/2020,3681,1388,31
France,3/14/2020,4496,815,12
France,3/15/2020,4532,36,0
France,3/16/2020,6683,2151,58
France,3/17/2020,7715,1032,0
France,3/18/2020,9124,1409,0
France,3/19/2020,10970,1846,95
France,3/20/2020,12758,1788,207
France,3/21/2020,14463,1705,112
France,3/22/2020,16758,2295,113
France,3/23/2020,20123,3365,186
France,3/24/2020,22372,2249,240
France,3/25/2020,25334,2962,231
France,3/26/2020,29252,3918,364
France,3/27/2020,33047,3795,299
France,3/28/2020,37692,4645,318
France,3/29/2020,40295,2603,294
France,3/30/2020,44649,4354,418
France,3/31/2020,52278,7629,500
France,4/1/2020,57122,4844,1252
France,4/2/2020,59228,2106,609
France,4/3/2020,64452,5224,1122
France,4/4/2020,47378,-17074,1053
France,4/5/2020,48233,855,519
France,4/6/2020,50887,2654,833
France,4/7/2020,47396,-3491,1416
France,4/8/2020,51251,3855,544
France,4/9/2020,55035,3784,1340
France,4/10/2020,56600,1565,985
France,4/11/2020,58045,1445,636
France,4/12/2020,108791,50746,561
France,4/13/2020,111932,3141,573
France,4/14/2020,129380,17448,743
France,4/15/2020,132588,3208,1438
France,4/16/2020,145166,12578,753
France,4/17/2020,147057,1891,761
France,4/18/2020,150863,3806,641
France,4/19/2020,151955,1092,389
France,4/20/2020,154402,2447,547
France,4/21/2020,157068,2666,528
France,4/22/2020,158868,1800,544
France,4/23/2020,157158,-1710,516
France,4/24/2020,159969,2811,390
France,4/25/2020,161647,1678,369
France,4/26/2020,162280,633,242
France,4/27/2020,165966,3686,437
France,4/28/2020,169098,3132,367
France,4/29/2020,167643,-1455,426
France,4/30/2020,168861,1218,289
France,5/1/2020,169387,526,217
France,5/2/2020,170179,792,197
France,5/3/2020,170540,361,135
France,5/4/2020,171102,562,306
France,5/5/2020,172219,1117,333
France,5/6/2020,176355,4136,275
France,5/7/2020,177096,741,179
France,5/8/2020,177627,531,242
France,5/9/2020,178156,529,80
France,5/10/2020,178405,249,70
France,5/11/2020,178719,314,263
France,5/12/2020,179472,753,348
France,5/13/2020,179993,521,85
France,5/14/2020,180635,642,351
France,5/15/2020,181148,513,102
France,5/16/2020,181563,415,98
France,5/17/2020,181703,140,483
France,5/18/2020,182147,444,129
France,5/19/2020,182648,501,-217
France,5/20/2020,183130,482,111
France,5/21/2020,183397,267,82
France,5/22/2020,184153,756,148
France,5/23/2020,184699,546,86
France,5/24/2020,184260,-439,-80
France,5/25/2020,184585,325,89
France,5/26/2020,184840,255,137
France,5/27/2020,185012,172,1
France,5/28/2020,188355,3343,67
France,5/29/2020,188949,594,51
France,5/30/2020,190744,1795,57
France,5/31/2020,190975,231,31
France,6/1/2020,191382,407,32
France,6/2/2020,190735,-647,106
France,6/3/2020,187509,-3226,81
France,6/4/2020,191869,4360,45
France,6/5/2020,192450,581,45
France,6/6/2020,193022,572,31
France,6/7/2020,193363,341,13
France,6/8/2020,193637,274,55
France,6/9/2020,194190,553,88
France,6/10/2020,194815,625,21
France,6/11/2020,195179,364,27
France,6/12/2020,195981,802,28
France,6/13/2020,196478,497,24
France,6/14/2020,196868,390,10
France,6/15/2020,197004,136,28
France,6/16/2020,197667,663,114
France,6/17/2020,198155,488,25
France,6/18/2020,198741,586,28
France,6/19/2020,199528,787,14
France,6/20/2020,200147,619,18
France,6/21/2020,200490,343,6
France,6/22/2020,200632,142,24
France,6/23/2020,201330,698,54
France,6/24/2020,201598,268,13
France,6/25/2020,201853,255,19
France,6/26/2020,203116,1263,26
France,6/27/2020,203564,448,1
France,6/28/2020,203158,-406,0
France,6/29/2020,203803,645,35
France,6/30/2020,204244,441,30
France,7/1/2020,205234,990,19
France,7/2/2020,205773,539,13
France,7/3/2020,206312,539,18
France,7/4/2020,206670,358,0
France,7/5/2020,206681,11,-1
France,7/6/2020,207699,1018,30
France,7/7/2020,208153,454,11
France,7/8/2020,208975,822,31
France,7/9/2020,209419,444,16
France,7/10/2020,210134,715,26
France,7/11/2020,210385,251,3
France,7/12/2020,210401,16,0
France,7/13/2020,211824,1423,23
France,7/14/2020,211886,62,2
France,7/15/2020,212613,727,88
France,7/16/2020,213182,569,17
France,7/17/2020,214011,829,13
France,7/18/2020,214174,163,3
France,7/19/2020,214178,4,0
France,7/20/2020,216089,1911,24
France,7/21/2020,216684,595,-13
France,7/22/2020,217605,921,6
France,7/23/2020,218841,1236,11
France,7/24/2020,219932,1091,10
France,7/25/2020,220020,88,0
France,7/26/2020,220020,0,0
France,7/27/2020,222508,2488,18
France,7/28/2020,223072,564,13
France,7/29/2020,224542,1470,14
France,7/30/2020,225931,1389,16
France,7/31/2020,227239,1308,11
France,8/1/2020,227302,63,0
France,8/2/2020,227305,3,0
France,8/3/2020,230665,3360,30
France,8/4/2020,231636,971,2
France,8/5/2020,233344,1708,11
France,8/6/2020,234945,1601,4
France,8/7/2020,237332,2387,13
France,8/8/2020,237402,70,1
France,8/9/2020,237437,35,0
France,8/10/2020,242168,4731,15
France,8/11/2020,243582,1414,14
France,8/12/2020,246180,2598,18
France,8/13/2020,248858,2678,17
France,8/14/2020,251781,2923,19
France,8/15/2020,254991,3210,1
France,8/16/2020,257994,3003,1
France,8/17/2020,258644,650,20
France,8/18/2020,260763,2119,22
France,8/19/2020,264535,3772,18
France,8/20/2020,269335,4800,11
France,8/21/2020,274344,5009,24
France,8/22/2020,277818,3474,9
France,8/23/2020,282498,4680,0
France,8/24/2020,284474,1976,16
France,8/25/2020,288090,3616,19
France,8/26/2020,288377,287,0
France,8/27/2020,299580,11203,35
France,8/28/2020,307221,7641,18
France,8/29/2020,312681,5460,6
France,8/30/2020,318047,5366,3
France,8/31/2020,321160,3113,31
France,9/1/2020,326264,5104,27
France,9/2/2020,333377,7113,27
France,9/3/2020,340499,7122,17
France,9/4/2020,349333,8834,-21
France,9/5/2020,357927,8594,12
France,9/6/2020,364943,7016,4
France,9/7/2020,369209,4266,23
France,9/8/2020,375947,6738,38
France,9/9/2020,384566,8619,32
France,9/10/2020,394328,9762,19
France,9/11/2020,403837,9509,82
France,9/12/2020,415174,11337,18
France,9/13/2020,421519,6345,5
France,9/14/2020,427915,6396,34
France,9/15/2020,435741,7826,50
France,9/16/2020,445932,10191,48
France,9/17/2020,456171,10239,47
France,9/18/2020,469404,13233,154
France,9/19/2020,482964,13560,25
France,9/20/2020,493500,10536,11
France,9/21/2020,499039,5539,53
France,9/22/2020,509123,10084,79
France,9/23/2020,522414,13291,48
France,9/24/2020,538264,15850,46
France,9/25/2020,554368,16104,151
France,9/26/2020,568588,14220,39
France,9/27/2020,579223,10635,27
France,9/28/2020,583522,4299,84
France,9/29/2020,591527,8005,73
France,9/30/2020,605893,14366,80
France,10/1/2020,618944,13051,57
France,10/2/2020,631380,12436,136
France,10/3/2020,647868,16488,25
France,10/4/2020,660372,12504,32
France,10/5/2020,666011,5639,71
France,10/6/2020,677321,11310,87
France,10/7/2020,696274,18953,80
France,10/8/2020,713676,17402,73
France,10/9/2020,734764,21088,110
France,10/10/2020,761441,26677,35
France,10/11/2020,777378,15937,46
France,10/12/2020,786590,9212,97
France,10/13/2020,800216,13626,128
France,10/14/2020,823218,23002,106
France,10/15/2020,852975,29757,85
France,10/16/2020,878607,25632,179
France,10/17/2020,910711,32104,73
France,10/18/2020,940548,29837,85
France,10/19/2020,954837,14289,148
France,10/20/2020,975213,20376,281
France,10/21/2020,1002635,27422,168
France,10/22/2020,1043448,40813,154
France,10/23/2020,1086285,42837,300
France,10/24/2020,1131550,45265,136
France,10/25/2020,1138166,6616,-21
France,10/26/2020,1211176,73010,389
France,10/27/2020,1245658,34482,529
France,10/28/2020,1283208,37550,259
France,10/29/2020,1329820,46612,232
France,10/30/2020,1379294,49474,547
France,10/31/2020,1414364,35070,222
France,11/1/2020,1460543,46179,231
France,11/2/2020,1566634,106091,428
France,11/3/2020,1639235,72601,1279
France,11/4/2020,1593159,-46076,-31
France,11/5/2020,1650965,57806,354
France,11/6/2020,1711917,60952,829
France,11/7/2020,1798572,86655,303
France,11/8/2020,1837134,38562,270
France,11/9/2020,1858558,21424,560
France,11/10/2020,1881171,22613,1231
France,11/11/2020,1917577,36406,328
France,11/12/2020,1950205,32628,415
France,11/13/2020,1974270,24065,933
France,11/14/2020,2006227,31957,353
France,11/15/2020,2033419,27192,303
France,11/16/2020,2043469,10050,511
France,11/17/2020,2089071,45602,1226
France,11/18/2020,2117968,28897,431
France,11/19/2020,2138704,20736,417
France,11/20/2020,2161968,23264,1141
France,11/21/2020,2179638,17670,252
France,11/22/2020,2192768,13130,214
France,11/23/2020,2197830,5062,506
France,11/24/2020,2207751,9921,1011
France,11/25/2020,2224505,16754,388
France,11/26/2020,2237506,13001,331
France,11/27/2020,2250280,12774,959
France,11/28/2020,2262757,12477,212
France,11/29/2020,2272520,9763,198
France,11/30/2020,2276874,4354,409
France,12/1/2020,2285238,8364,777
France,12/2/2020,2299466,14228,311
France,12/3/2020,2312253,12787,324
France,12/4/2020,2323764,11511,630
France,12/5/2020,2336646,12882,212
France,12/6/2020,2347595,10949,174
France,12/7/2020,2351006,3411,366
France,12/8/2020,2365043,14037,838
France,12/9/2020,2379718,14675,297
France,12/10/2020,2393590,13872,296
France,12/11/2020,2407079,13489,628
France,12/12/2020,2421026,13947,193
France,12/13/2020,2432559,11533,150
France,12/14/2020,2435751,3192,376
France,12/15/2020,2447406,11655,791
France,12/16/2020,2465126,17720,290
France,12/17/2020,2483524,18398,261
France,12/18/2020,2499529,16005,612
France,12/19/2020,2516957,17428,189
France,12/20/2020,2529756,12799,131
France,12/21/2020,2535716,5960,354
France,12/22/2020,2547577,11861,802
France,12/23/2020,2562615,15038,277
France,12/24/2020,2584333,21718,291
France,12/25/2020,2604595,20262,159
France,12/26/2020,2607688,3093,146
France,12/27/2020,2616510,8822,173
France,12/28/2020,2619616,3106,368
France,12/29/2020,2631110,11494,969
France,12/30/2020,2657624,26514,304
France,12/31/2020,2677666,20042,251
France,1/1/2021,2697014,19348,133
France,1/2/2021,2700480,3466,156
France,1/3/2021,2712975,12495,116
France,1/4/2021,2717059,4084,385
France,1/5/2021,2737884,20825,868
France,1/6/2021,2763116,25232,282
France,1/7/2021,2784883,21767,276
France,1/8/2021,2804743,19860,591
France,1/9/2021,2824920,20177,168
France,1/10/2021,2840864,15944,151
France,1/11/2021,2844680,3816,312
France,1/12/2021,2864360,19680,742
France,1/13/2021,2888292,23932,229
France,1/14/2021,2909723,21431,284
France,1/15/2021,2931040,21317,636
France,1/16/2021,2952449,21409,193
France,1/17/2021,2969091,16642,141
France,1/18/2021,2972889,3798,404
France,1/19/2021,2996784,23895,656
France,1/20/2021,3023661,26877,310
France,1/21/2021,3046371,22710,347
France,1/22/2021,3069695,23324,649
France,1/23/2021,3093619,23924,230
France,1/24/2021,3112055,18436,172
France,1/25/2021,3116355,4300,446
France,1/26/2021,3138498,22143,614
France,1/27/2021,3165449,26951,350
France,1/28/2021,3189405,23956,344
France,1/29/2021,3212640,23235,821
France,1/30/2021,3236685,24045,241
France,1/31/2021,3255920,19235,195
France,2/1/2021,3260308,4388,456
France,2/2/2021,3283645,23337,726
France,2/3/2021,3310051,26406,358
France,2/4/2021,3310071,20,0
France,2/5/2021,3355678,45607,1008
France,2/6/2021,3376266,20588,191
France,2/7/2021,3395981,19715,171
France,2/8/2021,3400324,4343,460
France,2/9/2021,3419210,18886,724
France,2/10/2021,3444888,25678,296
France,2/11/2021,3465964,21076,360
France,2/12/2021,3486673,20709,645
France,2/13/2021,3507904,21231,199
France,2/14/2021,3524450,16546,167
France,2/15/2021,3528856,4406,412
France,2/16/2021,3548452,19596,587
France,2/17/2021,3573638,25186,310
France,2/18/2021,3596156,22518,271
France,2/19/2021,3620283,24127,572
France,2/20/2021,3642654,22371,157
France,2/21/2021,3664700,22046,159
France,2/22/2021,3669354,4654,334
France,2/23/2021,3689534,20180,431
France,2/24/2021,3721061,31527,278
France,2/25/2021,3746475,25414,261
France,2/26/2021,3771691,25216,539
France,2/27/2021,3795687,23996,185
France,2/28/2021,3815639,19952,122
France,3/1/2021,3820369,4730,375
France,3/2/2021,3843241,22872,418
France,3/3/2021,3870144,26903,322
France,3/4/2021,3895430,25286,293
France,3/5/2021,3918937,23507,439
Germany,1/27/2020,1,1,
Germany,1/28/2020,4,3,
Germany,1/29/2020,4,0,
Germany,1/30/2020,4,0,
Germany,1/31/2020,5,1,
Germany,2/1/2020,8,3,
Germany,2/2/2020,10,2,
Germany,2/3/2020,12,2,
Germany,2/4/2020,12,0,
Germany,2/5/2020,12,0,
Germany,2/6/2020,12,0,
Germany,2/7/2020,13,1,
Germany,2/8/2020,13,0,
Germany,2/9/2020,14,1,
Germany,2/10/2020,14,0,
Germany,2/11/2020,16,2,
Germany,2/12/2020,16,0,
Germany,2/13/2020,16,0,
Germany,2/14/2020,16,0,
Germany,2/15/2020,16,0,
Germany,2/16/2020,16,0,
Germany,2/17/2020,16,0,
Germany,2/18/2020,16,0,
Germany,2/19/2020,16,0,
Germany,2/20/2020,16,0,
Germany,2/21/2020,16,0,
Germany,2/22/2020,16,0,
Germany,2/23/2020,16,0,
Germany,2/24/2020,16,0,
Germany,2/25/2020,17,1,
Germany,2/26/2020,27,10,
Germany,2/27/2020,46,19,
Germany,2/28/2020,48,2,
Germany,2/29/2020,79,31,
Germany,3/1/2020,130,51,
Germany,3/2/2020,159,29,
Germany,3/3/2020,196,37,
Germany,3/4/2020,262,66,
Germany,3/5/2020,482,220,
Germany,3/6/2020,670,188,
Germany,3/7/2020,799,129,
Germany,3/8/2020,1040,241,
Germany,3/9/2020,1176,136,2
Germany,3/10/2020,1457,281,0
Germany,3/11/2020,1908,451,1
Germany,3/12/2020,2078,170,0
Germany,3/13/2020,3675,1597,4
Germany,3/14/2020,4585,910,2
Germany,3/15/2020,5795,1210,2
Germany,3/16/2020,7272,1477,6
Germany,3/17/2020,9257,1985,7
Germany,3/18/2020,12327,3070,4
Germany,3/19/2020,15320,2993,16
Germany,3/20/2020,19848,4528,23
Germany,3/21/2020,22213,2365,17
Germany,3/22/2020,24873,2660,10
Germany,3/23/2020,29056,4183,29
Germany,3/24/2020,32986,3930,34
Germany,3/25/2020,37323,4337,49
Germany,3/26/2020,43938,6615,61
Germany,3/27/2020,50871,6933,75
Germany,3/28/2020,57695,6824,91
Germany,3/29/2020,62095,4400,100
Germany,3/30/2020,66885,4790,112
Germany,3/31/2020,71808,4923,130
Germany,4/1/2020,77872,6064,145
Germany,4/2/2020,84794,6922,187
Germany,4/3/2020,91159,6365,168
Germany,4/4/2020,96092,4933,169
Germany,4/5/2020,100123,4031,140
Germany,4/6/2020,103374,3251,226
Germany,4/7/2020,107663,4289,206
Germany,4/8/2020,113296,5633,333
Germany,4/9/2020,118181,4885,258
Germany,4/10/2020,122171,3990,160
Germany,4/11/2020,124908,2737,-31
Germany,4/12/2020,127854,2946,286
Germany,4/13/2020,130072,2218,172
Germany,4/14/2020,131359,1287,100
Germany,4/15/2020,134753,3394,510
Germany,4/16/2020,137698,2945,248
Germany,4/17/2020,141397,3699,300
Germany,4/18/2020,143342,1945,107
Germany,4/19/2020,145184,1842,127
Germany,4/20/2020,147065,1881,276
Germany,4/21/2020,148291,1226,171
Germany,4/22/2020,150648,2357,246
Germany,4/23/2020,153129,2481,296
Germany,4/24/2020,154999,1870,185
Germany,4/25/2020,156513,1514,117
Germany,4/26/2020,157770,1257,99
Germany,4/27/2020,158758,988,150
Germany,4/28/2020,159912,1154,188
Germany,4/29/2020,161539,1627,153
Germany,4/30/2020,163009,1470,156
Germany,5/1/2020,164077,1068,113
Germany,5/2/2020,164967,890,76
Germany,5/3/2020,165664,697,54
Germany,5/4/2020,166152,488,127
Germany,5/5/2020,167007,855,0
Germany,5/6/2020,168162,1155,282
Germany,5/7/2020,169430,1268,117
Germany,5/8/2020,170588,1158,118
Germany,5/9/2020,171324,736,39
Germany,5/10/2020,171879,555,20
Germany,5/11/2020,172576,697,92
Germany,5/12/2020,173171,595,77
Germany,5/13/2020,174098,927,123
Germany,5/14/2020,174478,380,23
Germany,5/15/2020,175233,755,13
Germany,5/16/2020,175752,519,41
Germany,5/17/2020,176369,617,24
Germany,5/18/2020,176551,182,41
Germany,5/19/2020,177778,1227,78
Germany,5/20/2020,178473,695,63
Germany,5/21/2020,179021,548,59
Germany,5/22/2020,179710,689,25
Germany,5/23/2020,179986,276,33
Germany,5/24/2020,180328,342,22
Germany,5/25/2020,180600,272,26
Germany,5/26/2020,181200,600,63
Germany,5/27/2020,181524,324,56
Germany,5/28/2020,182196,672,42
Germany,5/29/2020,182922,726,34
Germany,5/30/2020,183189,267,26
Germany,5/31/2020,183410,221,10
Germany,6/1/2020,183594,184,15
Germany,6/2/2020,183879,285,8
Germany,6/3/2020,184121,242,39
Germany,6/4/2020,184472,351,33
Germany,6/5/2020,184924,452,23
Germany,6/6/2020,185450,526,15
Germany,6/7/2020,185750,300,12
Germany,6/8/2020,186109,359,10
Germany,6/9/2020,186506,397,41
Germany,6/10/2020,186522,16,16
Germany,6/11/2020,186691,169,20
Germany,6/12/2020,187226,535,11
Germany,6/13/2020,187267,41,10
Germany,6/14/2020,187518,251,8
Germany,6/15/2020,187682,164,6
Germany,6/16/2020,188252,570,13
Germany,6/17/2020,188604,352,31
Germany,6/18/2020,189817,1213,24
Germany,6/19/2020,190299,482,12
Germany,6/20/2020,190670,371,8
Germany,6/21/2020,191272,602,0
Germany,6/22/2020,191768,496,4
Germany,6/23/2020,192480,712,15
Germany,6/24/2020,192871,391,14
Germany,6/25/2020,193371,500,12
Germany,6/26/2020,194036,665,25
Germany,6/27/2020,194458,422,3
Germany,6/28/2020,194693,235,0
Germany,6/29/2020,195042,349,8
Germany,6/30/2020,195418,376,14
Germany,7/1/2020,195893,475,5
Germany,7/2/2020,196370,477,11
Germany,7/3/2020,196780,410,4
Germany,7/4/2020,197198,418,10
Germany,7/5/2020,197523,325,3
Germany,7/6/2020,198064,541,-1
Germany,7/7/2020,198343,279,10
Germany,7/8/2020,198699,356,14
Germany,7/9/2020,199001,302,11
Germany,7/10/2020,199332,331,6
Germany,7/11/2020,199709,377,7
Germany,7/12/2020,199919,210,1
Germany,7/13/2020,200180,261,3
Germany,7/14/2020,200456,276,4
Germany,7/15/2020,200890,434,2
Germany,7/16/2020,201450,560,7
Germany,7/17/2020,202045,595,1
Germany,7/18/2020,202426,381,3
Germany,7/19/2020,202735,309,1
Germany,7/20/2020,203325,590,2
Germany,7/21/2020,203717,392,5
Germany,7/22/2020,204276,559,3
Germany,7/23/2020,204881,605,8
Germany,7/24/2020,205623,742,10
Germany,7/25/2020,206278,655,4
Germany,7/26/2020,206667,389,0
Germany,7/27/2020,207112,445,1
Germany,7/28/2020,207707,595,6
Germany,7/29/2020,208546,839,4
Germany,7/30/2020,209535,989,9
Germany,7/31/2020,210399,864,3
Germany,8/1/2020,211005,606,7
Germany,8/2/2020,211220,215,0
Germany,8/3/2020,212111,891,0
Germany,8/4/2020,212828,717,9
Germany,8/5/2020,214113,1285,16
Germany,8/6/2020,215039,926,2
Germany,8/7/2020,216196,1157,14
Germany,8/8/2020,216903,707,6
Germany,8/9/2020,217288,385,1
Germany,8/10/2020,218508,1220,1
Germany,8/11/2020,219540,1032,5
Germany,8/12/2020,220859,1319,5
Germany,8/13/2020,222281,1422,4
Germany,8/14/2020,223791,1510,13
Germany,8/15/2020,224488,697,5
Germany,8/16/2020,225007,519,0
Germany,8/17/2020,226700,1693,1
Germany,8/18/2020,228120,1420,5
Germany,8/19/2020,229706,1586,8
Germany,8/20/2020,231292,1586,14
Germany,8/21/2020,233029,1737,3
Germany,8/22/2020,233861,832,6
Germany,8/23/2020,234494,633,3
Germany,8/24/2020,236122,1628,1
Germany,8/25/2020,237583,1461,5
Germany,8/26/2020,239010,1427,4
Germany,8/27/2020,240571,1561,5
Germany,8/28/2020,242126,1555,0
Germany,8/29/2020,242835,709,9
Germany,8/30/2020,243305,470,1
Germany,8/31/2020,244802,1497,3
Germany,9/1/2020,246015,1213,4
Germany,9/2/2020,247411,1396,15
Germany,9/3/2020,248840,1429,0
Germany,9/4/2020,250283,1443,5
Germany,9/5/2020,251058,775,2
Germany,9/6/2020,251728,670,1
Germany,9/7/2020,253626,1898,1
Germany,9/8/2020,254957,1331,5
Germany,9/9/2020,256433,1476,6
Germany,9/10/2020,258149,1716,3
Germany,9/11/2020,259735,1586,3
Germany,9/12/2020,260817,1082,4
Germany,9/13/2020,261737,920,2
Germany,9/14/2020,263222,1485,2
Germany,9/15/2020,265014,1792,11
Germany,9/16/2020,266869,1855,6
Germany,9/17/2020,269048,2179,3
Germany,9/18/2020,271247,2199,10
Germany,9/19/2020,272932,1685,2
Germany,9/20/2020,273965,1033,2
Germany,9/21/2020,275560,1595,0
Germany,9/22/2020,277412,1852,15
Germany,9/23/2020,279025,1613,18
Germany,9/24/2020,281346,2321,13
Germany,9/25/2020,283712,2366,15
Germany,9/26/2020,285026,1314,8
Germany,9/27/2020,286339,1313,5
Germany,9/28/2020,288631,2292,4
Germany,9/29/2020,290471,1840,15
Germany,9/30/2020,292913,2442,12
Germany,10/1/2020,295539,2626,14
Germany,10/2/2020,298374,2835,9
Germany,10/3/2020,300027,1653,13
Germany,10/4/2020,301573,1546,2
Germany,10/5/2020,304673,3100,21
Germany,10/6/2020,307127,2454,12
Germany,10/7/2020,311137,4010,16
Germany,10/8/2020,315941,4804,12
Germany,10/9/2020,320495,4554,5
Germany,10/10/2020,323463,2968,21
Germany,10/11/2020,326309,2846,6
Germany,10/12/2020,332850,6541,14
